symbol,side,entry_time,exit_time,entry_price,exit_price,size,pnl,fees,tags,notes
ETHUSDT,long,2026-01-12 13:30:00,2026-01-12 14:49:17,3342.7005,3430.3864,0.5323,44.5120,-2.1632,win|intraday,open=bg-20260624-00000-o close=bg-20260624-00000-c
XRPUSDT,long,2026-01-12 14:58:55,2026-01-12 16:06:09,2.3157,2.3332,1.3161,0.0194,-0.0036,win|intraday,open=bg-20260624-00001-o close=bg-20260624-00001-c
BTCUSDT,long,2026-01-12 16:35:25,2026-01-12 17:17:22,97733.2001,98446.5380,0.9523,567.2185,-112.0932,win|intraday,open=bg-20260624-00002-o close=bg-20260624-00002-c
ETHUSDT,short,2026-01-12 17:49:00,2026-01-12 18:21:21,3372.8949,3349.2026,0.8156,16.0338,-3.2896,win|intraday,open=bg-20260624-00003-o close=bg-20260624-00003-c
ETHUSDT,short,2026-01-12 18:35:42,2026-01-12 18:56:10,3341.0398,3324.4025,0.1905,2.4075,-0.7619,win|scalp,open=bg-20260624-00004-o close=bg-20260624-00004-c
DOGEUSDT,short,2026-01-12 19:20:31,2026-01-12 19:55:17,0.3296,0.3282,0.4401,0.0004,-0.0002,win|intraday,open=bg-20260624-00005-o close=bg-20260624-00005-c
ETHUSDT,short,2026-01-12 20:18:45,2026-01-12 20:40:57,3298.9771,3191.4031,0.0953,9.8807,-0.3711,win|scalp,open=bg-20260624-00006-o close=bg-20260624-00006-c
DOGEUSDT,long,2026-01-12 20:46:59,2026-01-12 22:28:35,0.3204,0.3158,0.8333,-0.0042,-0.0004,loss|intraday,open=bg-20260624-00007-o close=bg-20260624-00007-c
ETHUSDT,long,2026-01-12 22:46:38,2026-01-12 23:12:42,3343.9276,3442.1918,0.2572,24.2264,-1.0472,win|scalp,open=bg-20260624-00008-o close=bg-20260624-00008-c
ETHUSDT,short,2026-01-12 23:32:09,2026-01-12 23:53:28,3326.0795,3299.7005,1.4481,32.4425,-5.7569,win|scalp,open=bg-20260624-00009-o close=bg-20260624-00009-c
ETHUSDT,short,2026-01-13 00:14:18,2026-01-13 00:51:12,3296.2342,3382.7360,0.6928,-62.7047,-2.7763,loss|intraday,open=bg-20260624-00010-o close=bg-20260624-00010-c
