symbol,side,entry_time,exit_time,entry_price,exit_price,size,pnl,fees,tags,notes
XRPUSDT,long,2026-01-12 13:30:00,2026-01-12 13:58:59,2.2884,2.2574,1.2453,-0.0420,-0.0034,loss|scalp,open=bg-20260625-00000-o close=bg-20260625-00000-c
SOLUSDT,short,2026-01-12 14:14:04,2026-01-12 14:37:32,195.6009,194.4293,1.1758,1.1024,-0.2752,win|scalp,open=bg-20260625-00001-o close=bg-20260625-00001-c
DOGEUSDT,long,2026-01-12 15:17:13,2026-01-12 16:20:38,0.3269,0.3222,1.1438,-0.0058,-0.0004,loss|intraday,open=bg-20260625-00002-o close=bg-20260625-00002-c
XRPUSDT,long,2026-01-12 17:01:00,2026-01-12 17:22:50,2.2853,2.3150,0.6688,0.0181,-0.0018,win|scalp,open=bg-20260625-00003-o close=bg-20260625-00003-c
BTCUSDT,long,2026-01-12 18:02:01,2026-01-12 18:35:11,96797.4214,98155.7639,1.0179,1263.5910,-119.0658,win|intraday,open=bg-20260625-00004-o close=bg-20260625-00004-c
ETHUSDT,long,2026-01-12 18:52:18,2026-01-12 19:20:23,3325.5698,3242.5700,0.1932,-16.7970,-0.7614,loss|scalp,open=bg-20260625-00005-o close=bg-20260625-00005-c
ETHUSDT,long,2026-01-12 19:24:58,2026-01-12 19:55:21,3296.2297,3273.0383,0.9537,-25.8767,-3.7591,loss|intraday,open=bg-20260625-00006-o close=bg-20260625-00006-c
ETHUSDT,short,2026-01-12 20:37:48,2026-01-12 21:52:09,3331.0225,3315.9060,0.6872,7.6475,-2.7406,win|intraday,open=bg-20260625-00007-o close=bg-20260625-00007-c
DOGEUSDT,long,2026-01-12 22:30:47,2026-01-12 22:58:56,0.3275,0.3259,1.0155,-0.0020,-0.0004,loss|scalp,open=bg-20260625-00008-o close=bg-20260625-00008-c
DOGEUSDT,short,2026-01-12 23:25:28,2026-01-13 00:18:43,0.3284,0.3307,1.4522,-0.0039,-0.0006,loss|intraday,open=bg-20260625-00009-o close=bg-20260625-00009-c
BTCUSDT,long,2026-01-13 00:41:19,2026-01-13 01:43:49,98083.8801,99130.0584,0.5491,509.4824,-64.9741,win|intraday,open=bg-20260625-00010-o close=bg-20260625-00010-c
BTCUSDT,long,2026-01-13 02:26:20,2026-01-13 02:51:56,96144.6292,93920.7736,0.9146,-2138.2386,-104.3003,loss|scalp,open=bg-20260625-00011-o close=bg-20260625-00011-c
SOLUSDT,short,2026-01-13 03:04:26,2026-01-13 04:03:25,194.7364,199.1413,0.1922,-0.8921,-0.0455,loss|intraday,open=bg-20260625-00012-o close=bg-20260625-00012-c
DOGEUSDT,short,2026-01-13 04:43:34,2026-01-13 05:14:03,0.3235,0.3183,1.4226,0.0068,-0.0006,win|intraday,open=bg-20260625-00013-o close=bg-20260625-00013-c
ETHUSDT,short,2026-01-13 05:16:50,2026-01-13 05:44:05,3320.8005,3340.6516,1.4080,-33.5779,-5.6276,loss|scalp,open=bg-20260625-00014-o close=bg-20260625-00014-c
XRPUSDT,short,2026-01-13 06:16:14,2026-01-13 10:06:47,2.2621,2.3381,1.3918,-0.1097,-0.0039,loss|intraday,open=bg-20260625-00015-o close=bg-20260625-00015-c
XRPUSDT,short,2026-01-13 10:08:51,2026-01-13 10:40:49,2.2474,2.2688,0.9929,-0.0239,-0.0027,loss|intraday,open=bg-20260625-00016-o close=bg-20260625-00016-c
DOGEUSDT,short,2026-01-13 10:59:42,2026-01-13 11:36:45,0.3282,0.3256,1.2226,0.0028,-0.0004,win|intraday,open=bg-20260625-00017-o close=bg-20260625-00017-c
BTCUSDT,short,2026-01-13 12:06:35,2026-01-13 12:44:22,96749.7767,98246.2522,1.3468,-2173.0256,-157.5724,loss|intraday,open=bg-20260625-00018-o close=bg-20260625-00018-c
BTCUSDT,long,2026-01-13 12:48:28,2026-01-13 13:58:57,98957.7002,97673.8750,1.1073,-1552.2177,-130.6381,loss|intraday,open=bg-20260625-00019-o close=bg-20260625-00019-c
BTCUSDT,short,2026-01-13 14:29:14,2026-01-13 14:47:46,97988.7974,100001.8753,0.5242,-1117.5274,-62.2720,loss|scalp,open=bg-20260625-00020-o close=bg-20260625-00020-c
ETHUSDT,long,2026-01-13 15:23:02,2026-01-13 16:46:27,3325.1486,3349.4648,1.4472,29.3947,-5.7957,win|intraday,open=bg-20260625-00021-o close=bg-20260625-00021-c
SOLUSDT,short,2026-01-13 17:27:29,2026-01-13 17:48:33,192.3307,190.9089,0.6418,0.7649,-0.1476,win|scalp,open=bg-20260625-00022-o close=bg-20260625-00022-c
SOLUSDT,long,2026-01-13 18:24:39,2026-01-13 19:09:16,193.1248,194.7867,1.2275,1.7543,-0.2857,win|intraday,open=bg-20260625-00023-o close=bg-20260625-00023-c
ETHUSDT,short,2026-01-13 19:52:15,2026-01-13 23:19:51,3311.1977,3253.0558,0.2638,14.2988,-1.0390,win|intraday,open=bg-20260625-00024-o close=bg-20260625-00024-c
XRPUSDT,short,2026-01-13 23:28:30,2026-01-14 00:16:39,2.2432,2.2772,1.2015,-0.0441,-0.0032,loss|intraday,open=bg-20260625-00025-o close=bg-20260625-00025-c
SOLUSDT,short,2026-01-14 00:45:12,2026-01-14 02:29:24,194.1285,192.2987,1.4291,2.2836,-0.3314,win|intraday,open=bg-20260625-00026-o close=bg-20260625-00026-c
DOGEUSDT,short,2026-01-14 02:31:59,2026-01-14 02:51:29,0.3269,0.3300,1.4291,-0.0050,-0.0006,loss|scalp,open=bg-20260625-00027-o close=bg-20260625-00027-c
BTCUSDT,long,2026-01-14 03:16:14,2026-01-14 03:54:37,97682.6558,96125.8413,1.4691,-2457.9507,-170.8345,loss|intraday,open=bg-20260625-00028-o close=bg-20260625-00028-c
BTCUSDT,short,2026-01-14 04:27:06,2026-01-14 04:40:54,96240.4493,96984.0346,1.0908,-937.5643,-126.4615,loss|scalp,open=bg-20260625-00029-o close=bg-20260625-00029-c
DOGEUSDT,short,2026-01-14 04:55:37,2026-01-14 05:29:35,0.3291,0.3267,0.6751,0.0014,-0.0002,win|intraday,open=bg-20260625-00030-o close=bg-20260625-00030-c
SOLUSDT,long,2026-01-14 05:43:42,2026-01-14 06:50:42,193.6478,189.4954,0.6656,-2.9168,-0.1530,loss|intraday,open=bg-20260625-00031-o close=bg-20260625-00031-c
SOLUSDT,long,2026-01-14 06:58:50,2026-01-14 07:20:21,190.1506,187.7389,1.0491,-2.7680,-0.2379,loss|scalp,open=bg-20260625-00032-o close=bg-20260625-00032-c
SOLUSDT,long,2026-01-14 08:02:52,2026-01-14 08:32:24,190.4179,192.8451,1.4636,3.2159,-0.3365,win|scalp,open=bg-20260625-00033-o close=bg-20260625-00033-c
XRPUSDT,short,2026-01-14 09:16:47,2026-01-14 10:03:39,2.2907,2.2557,0.6520,0.0210,-0.0018,win|intraday,open=bg-20260625-00034-o close=bg-20260625-00034-c
SOLUSDT,short,2026-01-14 10:32:23,2026-01-14 11:48:51,191.0823,187.3433,1.2943,4.5455,-0.2939,win|intraday,open=bg-20260625-00035-o close=bg-20260625-00035-c
SOLUSDT,short,2026-01-14 12:17:16,2026-01-14 13:54:01,191.6455,192.6384,0.1149,-0.1406,-0.0265,loss|intraday,open=bg-20260625-00036-o close=bg-20260625-00036-c
XRPUSDT,long,2026-01-14 14:36:12,2026-01-14 15:19:13,2.2571,2.2786,0.6644,0.0125,-0.0018,win|intraday,open=bg-20260625-00037-o close=bg-20260625-00037-c
XRPUSDT,short,2026-01-14 15:29:24,2026-01-14 16:37:50,2.2686,2.2902,0.5933,-0.0144,-0.0016,loss|intraday,open=bg-20260625-00038-o close=bg-20260625-00038-c
BTCUSDT,long,2026-01-14 17:13:59,2026-01-14 17:48:57,97050.9451,97747.6882,0.3861,223.8855,-45.1270,win|intraday,open=bg-20260625-00039-o close=bg-20260625-00039-c
BTCUSDT,short,2026-01-14 18:21:03,2026-01-14 19:29:23,97224.7319,96690.6184,0.3279,136.9849,-38.1509,win|intraday,open=bg-20260625-00040-o close=bg-20260625-00040-c
SOLUSDT,short,2026-01-14 19:45:42,2026-01-14 20:25:53,195.2487,198.5353,1.3646,-4.8074,-0.3225,loss|intraday,open=bg-20260625-00041-o close=bg-20260625-00041-c
BTCUSDT,long,2026-01-14 20:52:07,2026-01-14 21:16:14,97170.2029,98384.1216,0.4475,490.7223,-52.5063,win|scalp,open=bg-20260625-00042-o close=bg-20260625-00042-c
BTCUSDT,long,2026-01-14 21:18:20,2026-01-14 21:51:23,96119.6411,97288.8745,0.5105,537.6527,-59.2410,win|intraday,open=bg-20260625-00043-o close=bg-20260625-00043-c
XRPUSDT,short,2026-01-14 22:27:31,2026-01-14 23:12:22,2.2682,2.2931,0.2848,-0.0079,-0.0008,loss|intraday,open=bg-20260625-00044-o close=bg-20260625-00044-c
