symbol,side,entry_time,exit_time,entry_price,exit_price,size,pnl,fees,tags,notes
ETHUSDT,long,2026-01-12 13:30:00,2026-01-12 14:49:17,3342.7005,3430.3864,0.5323,44.5120,-2.1632,win|intraday,open=bg-20260624-00000-o close=bg-20260624-00000-c
XRPUSDT,long,2026-01-12 14:58:55,2026-01-12 16:06:09,2.3157,2.3332,1.3161,0.0194,-0.0036,win|intraday,open=bg-20260624-00001-o close=bg-20260624-00001-c
BTCUSDT,long,2026-01-12 16:35:25,2026-01-12 17:17:22,97733.2001,98446.5380,0.9523,567.2185,-112.0932,win|intraday,open=bg-20260624-00002-o close=bg-20260624-00002-c
ETHUSDT,short,2026-01-12 17:49:00,2026-01-12 18:21:21,3372.8949,3349.2026,0.8156,16.0338,-3.2896,win|intraday,open=bg-20260624-00003-o close=bg-20260624-00003-c
ETHUSDT,short,2026-01-12 18:35:42,2026-01-12 18:56:10,3341.0398,3324.4025,0.1905,2.4075,-0.7619,win|scalp,open=bg-20260624-00004-o close=bg-20260624-00004-c
DOGEUSDT,short,2026-01-12 19:20:31,2026-01-12 19:55:17,0.3296,0.3282,0.4401,0.0004,-0.0002,win|intraday,open=bg-20260624-00005-o close=bg-20260624-00005-c
ETHUSDT,short,2026-01-12 20:18:45,2026-01-12 20:40:57,3298.9771,3191.4031,0.0953,9.8807,-0.3711,win|scalp,open=bg-20260624-00006-o close=bg-20260624-00006-c
DOGEUSDT,long,2026-01-12 20:46:59,2026-01-12 22:28:35,0.3204,0.3158,0.8333,-0.0042,-0.0004,loss|intraday,open=bg-20260624-00007-o close=bg-20260624-00007-c
ETHUSDT,long,2026-01-12 22:46:38,2026-01-12 23:12:42,3343.9276,3442.1918,0.2572,24.2264,-1.0472,win|scalp,open=bg-20260624-00008-o close=bg-20260624-00008-c
ETHUSDT,short,2026-01-12 23:32:09,2026-01-12 23:53:28,3326.0795,3299.7005,1.4481,32.4425,-5.7569,win|scalp,open=bg-20260624-00009-o close=bg-20260624-00009-c
ETHUSDT,short,2026-01-13 00:14:18,2026-01-13 00:51:12,3296.2342,3382.7360,0.6928,-62.7047,-2.7763,loss|intraday,open=bg-20260624-00010-o close=bg-20260624-00010-c
ETHUSDT,short,2026-01-13 01:19:39,2026-01-13 02:48:13,3332.0860,3296.8942,0.2412,7.5290,-0.9593,win|intraday,open=bg-20260624-00011-o close=bg-20260624-00011-c
SOLUSDT,short,2026-01-13 03:32:49,2026-01-13 03:53:15,196.1065,192.4839,0.8113,2.7498,-0.1892,win|scalp,open=bg-20260624-00012-o close=bg-20260624-00012-c
ETHUSDT,short,2026-01-13 04:21:32,2026-01-13 05:12:42,3283.8905,3347.9809,0.3158,-21.4963,-1.2566,loss|intraday,open=bg-20260624-00013-o close=bg-20260624-00013-c
ETHUSDT,long,2026-01-13 05:38:16,2026-01-13 06:06:49,3301.6423,3326.3469,0.2028,4.2037,-0.8064,win|scalp,open=bg-20260624-00014-o close=bg-20260624-00014-c
ETHUSDT,short,2026-01-13 06:42:03,2026-01-13 07:38:34,3295.8040,3277.0742,1.1181,16.5323,-4.4095,win|intraday,open=bg-20260624-00015-o close=bg-20260624-00015-c
ETHUSDT,long,2026-01-13 08:05:01,2026-01-13 08:56:58,3291.9515,3317.7386,0.2623,5.7238,-1.0402,win|intraday,open=bg-20260624-00016-o close=bg-20260624-00016-c
XRPUSDT,short,2026-01-13 09:39:10,2026-01-13 10:02:22,2.3461,2.4307,1.1465,-0.1003,-0.0033,loss|scalp,open=bg-20260624-00017-o close=bg-20260624-00017-c
SOLUSDT,long,2026-01-13 10:38:30,2026-01-13 11:01:27,194.3663,195.4988,0.4021,0.3613,-0.0941,win|scalp,open=bg-20260624-00018-o close=bg-20260624-00018-c
SOLUSDT,long,2026-01-13 11:06:59,2026-01-13 11:51:12,194.7323,196.3138,1.4045,1.8917,-0.3295,win|intraday,open=bg-20260624-00019-o close=bg-20260624-00019-c
BTCUSDT,long,2026-01-13 12:00:13,2026-01-13 12:56:15,97499.9671,98623.3585,0.4975,500.3444,-58.5428,win|intraday,open=bg-20260624-00020-o close=bg-20260624-00020-c
ETHUSDT,long,2026-01-13 13:10:44,2026-01-13 13:31:04,3275.9953,3338.3976,0.5000,29.2168,-1.9843,win|scalp,open=bg-20260624-00021-o close=bg-20260624-00021-c
BTCUSDT,short,2026-01-13 14:08:16,2026-01-13 14:39:45,95594.3378,96052.0994,0.4306,-246.6259,-49.5138,loss|intraday,open=bg-20260624-00022-o close=bg-20260624-00022-c
SOLUSDT,short,2026-01-13 14:50:27,2026-01-13 15:36:57,199.8193,197.5456,1.3658,2.7798,-0.3256,win|intraday,open=bg-20260624-00023-o close=bg-20260624-00023-c
ETHUSDT,short,2026-01-13 15:55:09,2026-01-13 16:12:30,3295.4137,3266.9198,1.1592,28.4659,-4.5642,win|scalp,open=bg-20260624-00024-o close=bg-20260624-00024-c
